D_number,date_UTC,Latitude,Longitude,U_speed_mps,U_Dir_deg,batteryState
298,2023-04-25 01:33:50,54.46207,10.43233,0.338368877055929,116.249421424348,GOOD
298,2023-04-25 01:45:53,54.46114,10.43602,0.360506210404256,112.227189460434,GOOD
298,2023-04-25 01:53:50,54.46045,10.4386,0.385838117672114,113.488404272086,GOOD
298,2023-04-25 02:03:49,54.45971,10.44188,0.38069350548736,109.9969030129,GOOD
298,2023-04-25 02:18:46,54.45855,10.4471,0.403803350193658,109.702741746807,GOOD
298,2023-04-25 02:23:47,54.45821,10.44894,0.415785275451874,106.41857018593,GOOD
298,2023-04-25 02:28:45,54.45778,10.45074,0.423261652402315,111.114940854802,GOOD
298,2023-04-25 02:38:47,54.45686,10.45416,0.405702403074161,113.601186069175,GOOD
298,2023-04-25 02:43:47,54.45644,10.45596,0.419058907194495,110.640790988169,GOOD
298,2023-04-25 02:49:56,54.45584,10.45802,0.404675050570318,115.374508874007,GOOD
298,2023-04-25 02:53:46,54.45557,10.45943,0.418405296499485,107.006052739649,GOOD
298,2023-04-25 02:58:44,54.45522,10.46102,0.369819476456548,109.508053189736,GOOD
298,2023-04-25 03:03:52,54.45473,10.46268,0.391747226085611,115.677379299425,GOOD
298,2023-04-25 03:08:47,54.45433,10.46448,0.423434335450505,109.685119458977,GOOD
298,2023-04-25 03:28:46,54.45272,10.47143,0.380859255641522,111.127154723938,GOOD
298,2023-04-25 03:33:48,54.45223,10.47304,0.390003394194083,116.380298682389,GOOD
298,2023-04-25 03:44:03,54.45125,10.47622,0.379299898017816,116.672881313737,GOOD
298,2023-04-25 03:53:52,54.45033,10.47922,0.138369141857006,109.192368221539,GOOD
298,2023-04-25 03:58:51,54.44982,10.48066,0.365466818040042,120.085563855885,GOOD
298,2023-04-25 04:14:05,54.4481,10.48491,0.369138928908608,114.393070383189,GOOD
298,2023-04-25 04:28:52,54.44677,10.48956,0.347191913137685,113.413432390232,GOOD
298,2023-04-25 04:33:51,54.4464,10.49113,0.367323769746674,110.804954948101,GOOD
298,2023-04-25 04:38:49,54.44596,10.49274,0.386998111853375,113.909652222052,GOOD
298,2023-04-25 05:08:41,54.4436,10.50078,0.29704046318448,117.924674096183,GOOD
298,2023-04-25 05:13:41,54.44324,10.50194,0.284123419811094,116.812781377171,GOOD
298,2023-04-25 05:18:38,54.44288,10.50321,0.308405425643166,114.713617009577,GOOD
298,2023-04-25 05:23:40,54.4425,10.50456,0.321977045134186,114.554486713496,GOOD
298,2023-04-25 05:28:41,54.44218,10.50574,0.280444761693217,113.72697503015,GOOD
298,2023-04-25 05:33:46,54.44184,10.50694,0.283744162554424,114.69955515199,GOOD
